ICMP,Media,Condition,Replicate,Age,Size,Colour
21634,OEA,L,1,4,36,White
21634,OEA,L,1,8,60,White
21634,OEA,L,1,16,90,White
21634,OEA,L,1,32,90,White
21634,OEA,L,1,64,90,White
21634,OEA,L,2,2,,White
21634,OEA,L,2,4,,White
21634,OEA,L,2,8,65,White
21634,OEA,L,2,16,90,White
21634,OEA,L,2,32,90,White
21634,OEA,L,2,64,90,White
21634,OEA,L,3,2,,White
21634,OEA,L,3,4,,White
21634,OEA,L,3,8,67,White
21634,OEA,L,3,16,90,White
21634,OEA,L,3,32,90,White
21634,OEA,L,3,64,90,White
21634,OEA,D,1,2,17,White
21634,OEA,D,1,4,40,White
21634,OEA,D,1,8,75,White
21634,OEA,D,1,16,90,White
21634,OEA,D,1,32,90,White
21634,OEA,D,1,64,90,White
21634,OEA,D,2,2,,White
21634,OEA,D,2,4,38,White
21634,OEA,D,2,8,67,White
21634,OEA,D,2,16,90,White
21634,OEA,D,2,32,90,White
21634,OEA,D,2,64,90,White
21634,OEA,D,3,2,,White
21634,OEA,D,3,4,,White
21634,OEA,D,3,8,65,White
21634,OEA,D,3,16,90,White
21634,OEA,D,3,32,90,White
21634,OEA,D,3,64,90,White
,,,,,,
16865,PDA,L,1,2,0,Cream
16865,PDA,L,1,4,0,Cream
16865,PDA,L,1,8,13,Cream
16865,PDA,L,1,16,22,Cream
16865,PDA,L,1,32,44,Cream
16865,PDA,L,1,64,,Cream
16865,PDA,L,2,2,0,Cream
16865,PDA,L,2,4,0,Cream
16865,PDA,L,2,8,16,Cream
16865,PDA,L,2,16,24,Cream
16865,PDA,L,2,32,45,Cream
16865,PDA,L,2,64,,Cream
16865,PDA,D,1,2,0,Cream
16865,PDA,D,1,4,5,Cream
16865,PDA,D,1,8,11,Cream
16865,PDA,D,1,16,23,Cream
16865,PDA,D,1,32,40,Cream
16865,PDA,D,1,64,,Cream
16865,PDA,D,2,2,0,Cream
16865,PDA,D,2,4,9,Cream
16865,PDA,D,2,8,12,Cream
16865,PDA,D,2,16,22,Cream
16865,PDA,D,2,32,40,Cream
16865,PDA,D,2,64,,Cream
16865,PDA,D,3,2,0,Cream
16865,PDA,D,3,4,7,Cream
16865,PDA,D,3,8,,Cream
16865,PDA,D,3,16,,Cream
16865,PDA,D,3,32,40,Cream
16865,PDA,D,3,64,,Cream
16865,MEA,L,1,2,0,Cream
16865,MEA,L,1,4,0,Cream
16865,MEA,L,1,8,12,Cream
16865,MEA,L,1,16,25,Cream
16865,MEA,L,1,32,,Cream
16865,MEA,L,1,64,,Cream
16865,MEA,L,2,2,0,Cream
16865,MEA,L,2,4,,Cream
16865,MEA,L,2,8,15,Cream
16865,MEA,L,2,16,24,Cream
16865,MEA,L,2,32,,Cream
16865,MEA,L,2,64,,Cream
16865,MEA,L,3,2,0,Cream
16865,MEA,L,3,4,,Cream
16865,MEA,L,3,8,14,Cream
16865,MEA,L,3,16,23,Cream
16865,MEA,L,3,32,,Cream
16865,MEA,L,3,64,,Cream
16865,MEA,D,1,2,0,Cream
16865,MEA,D,1,4,7,Cream
16865,MEA,D,1,8,10,Cream
16865,MEA,D,1,16,23,Cream
16865,MEA,D,1,32,37,Cream
16865,MEA,D,1,64,,Cream
16865,MEA,D,2,2,0,Cream
16865,MEA,D,2,4,7,Cream
16865,MEA,D,2,8,14,Cream
16865,MEA,D,2,16,,Cream
16865,MEA,D,2,32,38,Cream
16865,MEA,D,2,64,,Cream
16865,MEA,D,3,2,,Cream
16865,MEA,D,3,4,7,Cream
16865,MEA,D,3,8,,Cream
16865,MEA,D,3,16,,Cream
16865,MEA,D,3,32,,Cream
16865,MEA,D,3,64,,Cream
16865,WA,L,1,2,0,Cream
16865,WA,L,1,4,9,Cream
16865,WA,L,1,8,11,Cream
16865,WA,L,1,16,30,Cream
16865,WA,L,1,32,,Cream
16865,WA,L,1,64,,Cream
16865,WA,L,2,2,0,Cream
16865,WA,L,2,4,,Cream
16865,WA,L,2,8,13,Cream
16865,WA,L,2,16,25,Cream
16865,WA,L,2,32,31,Cream
16865,WA,L,2,64,,Cream
16865,WA,L,3,2,0,Cream
16865,WA,L,3,4,,Cream
16865,WA,L,3,8,11,Cream
16865,WA,L,3,16,31,Cream
16865,WA,L,3,32,,Cream
16865,WA,L,3,64,,Cream
16865,WA,D,1,2,0,Cream
16865,WA,D,1,4,6,Cream
16865,WA,D,1,8,9,Cream
16865,WA,D,1,16,25,Cream
16865,WA,D,1,32,42,Cream
16865,WA,D,1,64,,Cream
16865,WA,D,2,2,0,Cream
16865,WA,D,2,4,6,Cream
16865,WA,D,2,8,15,Cream
16865,WA,D,2,16,,Cream
16865,WA,D,2,32,42,Cream
16865,WA,D,2,64,,Cream
16865,WA,D,3,2,0,Cream
16865,WA,D,3,4,,Cream
16865,WA,D,3,8,17,Cream
16865,WA,D,3,16,,Cream
16865,WA,D,3,32,,Cream
16865,WA,D,3,64,,Cream
16865,CEA,L,1,2,0,Cream
16865,CEA,L,1,4,0,Cream
16865,CEA,L,1,8,6,Cream
16865,CEA,L,1,16,15,Cream
16865,CEA,L,1,32,24,Cream
16865,CEA,L,1,64,,Cream
16865,CEA,L,2,2,0,Cream
16865,CEA,L,2,4,0,Cream
16865,CEA,L,2,8,12,Cream
16865,CEA,L,2,16,15,Cream
16865,CEA,L,2,32,,Cream
16865,CEA,L,2,64,,Cream
16865,CEA,L,3,2,0,Cream
16865,CEA,L,3,4,0,Cream
16865,CEA,L,3,8,9,Cream
16865,CEA,L,3,16,12,Cream
16865,CEA,L,3,32,,Cream
16865,CEA,L,3,64,,Cream
16865,CEA,D,1,2,0,Cream
16865,CEA,D,1,4,0,Cream
16865,CEA,D,1,8,6,Cream
16865,CEA,D,1,16,20,Cream
16865,CEA,D,1,32,21,Cream
16865,CEA,D,1,64,,Cream
16865,CEA,D,2,2,0,Cream
16865,CEA,D,2,4,0,Cream
16865,CEA,D,2,8,9,Cream
16865,CEA,D,2,16,13,Cream
16865,CEA,D,2,32,,Cream
16865,CEA,D,2,64,,Cream
16865,REA,L,1,2,0,Cream
16865,REA,L,1,4,8,Cream
16865,REA,L,1,8,14,Cream
16865,REA,L,1,16,28,Cream
16865,REA,L,1,32,44,Cream
16865,REA,L,1,64,,Cream
16865,REA,L,2,2,,Cream
16865,REA,L,2,4,,Cream
16865,REA,L,2,8,12,Cream
16865,REA,L,2,16,21,Cream
16865,REA,L,2,32,,Cream
16865,REA,L,2,64,,Cream
16865,REA,D,1,2,0,Cream
16865,REA,D,1,4,6,Cream
16865,REA,D,1,8,12,Cream
16865,REA,D,1,16,25,Cream
16865,REA,D,1,32,43,Cream
16865,REA,D,1,64,,Cream
16865,REA,D,2,2,,Cream
16865,REA,D,2,4,,Cream
16865,REA,D,2,8,11,Cream
16865,REA,D,2,16,,Cream
16865,REA,D,2,32,44,Cream
16865,REA,D,2,64,,Cream
16865,OEA,L,1,2,0,Cream
16865,OEA,L,1,4,0,Cream
16865,OEA,L,1,8,5,Cream
16865,OEA,L,1,16,20,Cream
16865,OEA,L,1,32,,Cream
16865,OEA,L,1,64,,Cream
16865,OEA,L,2,2,0,Cream
16865,OEA,L,2,4,0,Cream
16865,OEA,L,2,8,10,Cream
16865,OEA,L,2,16,19,Cream
16865,OEA,L,2,32,,Cream
16865,OEA,L,2,64,,Cream
16865,OEA,L,3,2,0,Cream
16865,OEA,L,3,4,0,Cream
16865,OEA,L,3,8,10,Cream
16865,OEA,L,3,16,17,Cream
16865,OEA,L,3,32,,Cream
16865,OEA,L,3,64,,Cream
16865,OEA,D,1,2,0,Cream
16865,OEA,D,1,4,2,Cream
16865,OEA,D,1,8,10,Cream
16865,OEA,D,1,16,20,Cream
16865,OEA,D,1,32,,Cream
16865,OEA,D,1,64,,Cream
16865,OEA,D,2,2,0,Cream
16865,OEA,D,2,4,7,Cream
16865,OEA,D,2,8,9,Cream
16865,OEA,D,2,16,17,Cream
16865,OEA,D,2,32,,Cream
16865,OEA,D,2,64,,Cream
